estudio,numero,edificio,configuracao,area,extrainformation
1,1,1,T2,60,n
2,2,1,T1,42,n
3,1,3,T2,60,n
4,3,1,T3,102,n
5,4,1,T0,35,n
6,2,3,T0,34,n
7,3,3,T1,41,n
8,1,2,T2,59,n
9,2,2,T3,122,n
10,3,2,T2,95,n
11,4,3,T2,79,n
12,5,3,T1,49,n
13,4,2,T0,47,n
14,5,1,T1,49,n
15,5,2,T3,122,n
16,1,4,T0,38,n
17,6,1,T2,83,n
18,6,2,T2,95,n
19,7,2,T1,68,n
20,8,2,T2,95,n
21,6,3,T0,41,n
22,7,1,T1,49,n
23,8,1,T1,49,n
24,2,4,T1,57,n
25,3,4,T2,72,n
26,4,4,T1,57,n
27,7,3,T1,56,n
28,8,3,T0,36,n
29,9,2,T3,122,n
30,9,1,T2,83,n
31,9,3,T1,56,n
32,10,2,T1,68,n
33,11,2,T2,95,n
34,5,4,T3,91,n
35,10,1,T2,83,n
36,6,4,T2,72,n
37,7,4,T2,72,n
38,11,1,T1,49,n
39,10,3,T0,36,n
40,11,3,T1,63,n
41,12,3,T2,79,n
42,12,2,T3,122,n
43,13,3,T2,79,n
44,12,1,T2,83,n
45,13,1,T1,49,n
46,13,2,T1,68,n
47,14,3,T0,41,n
48,14,2,T1,68,n
49,15,2,T3,122,n
50,8,4,T2,72,n
